"Name","I","i","C","P","p","M","m"
"Opossum",2.68081381793446,1.39706722558023,0.82572282384477,0.361071558712657,0.454911307241885,1.32548898994923,1.34040406097678
"Hairy tail mole",1.00371702188068,0.53532482475504,0.82572282384477,1.18282062336905,1.2450204198199,0.467819643511491,0.357441082927142
"Common mole",1.00371702188068,-0.326417576070146,0.82572282384477,0.361071558712657,0.454911307241885,0.467819643511491,0.357441082927142
"Star nose mole",1.00371702188068,0.53532482475504,0.82572282384477,1.18282062336905,1.2450204198199,0.467819643511491,0.357441082927142
"Brown bat",0.165168623853782,0.53532482475504,0.82572282384477,0.361071558712657,0.454911307241885,0.467819643511491,0.357441082927142
"Silver hair bat",0.165168623853782,0.53532482475504,0.82572282384477,-0.460677505943735,0.454911307241885,0.467819643511491,0.357441082927142
"Pigmy bat",0.165168623853782,0.53532482475504,0.82572282384477,-0.460677505943735,-0.335197805336126,0.467819643511491,0.357441082927142
"House bat",0.165168623853782,0.53532482475504,0.82572282384477,-1.28242657060013,-0.335197805336126,0.467819643511491,0.357441082927142
"Red bat",-0.673379774173112,0.53532482475504,0.82572282384477,-0.460677505943735,-0.335197805336126,0.467819643511491,0.357441082927142
"Hoary bat",-0.673379774173112,0.53532482475504,0.82572282384477,-0.460677505943735,-0.335197805336126,0.467819643511491,0.357441082927142
"Lump nose bat",0.165168623853782,0.53532482475504,0.82572282384477,-0.460677505943735,0.454911307241885,0.467819643511491,0.357441082927142
"Armadillo",-1.51192817220001,-2.04990237772052,-1.19271074555356,-2.10417563525652,-1.91541603049215,4.75616637570016,5.27225597317534
"Pika",0.165168623853782,-1.18815997689533,-1.19271074555356,-0.460677505943735,-0.335197805336126,0.467819643511491,0.357441082927142
"Snowshoe rabbit",0.165168623853782,-1.18815997689533,-1.19271074555356,0.361071558712657,-0.335197805336126,0.467819643511491,0.357441082927142
"Beaver",-0.673379774173112,-1.18815997689533,-1.19271074555356,-0.460677505943735,-1.12530691791414,0.467819643511491,0.357441082927142
"Marmot",-0.673379774173112,-1.18815997689533,-1.19271074555356,-0.460677505943735,-1.12530691791414,0.467819643511491,0.357441082927142
"Groundhog",-0.673379774173112,-1.18815997689533,-1.19271074555356,-0.460677505943735,-1.12530691791414,0.467819643511491,0.357441082927142
"Prairie Dog",-0.673379774173112,-1.18815997689533,-1.19271074555356,-0.460677505943735,-1.12530691791414,0.467819643511491,0.357441082927142
"Ground Squirrel",-0.673379774173112,-1.18815997689533,-1.19271074555356,-0.460677505943735,-1.12530691791414,0.467819643511491,0.357441082927142
"Chipmunk",-0.673379774173112,-1.18815997689533,-1.19271074555356,-0.460677505943735,-1.12530691791414,0.467819643511491,0.357441082927142
"Gray squirrel",-0.673379774173112,-1.18815997689533,-1.19271074555356,-1.28242657060013,-1.12530691791414,0.467819643511491,0.357441082927142
"Fox squirrel",-0.673379774173112,-1.18815997689533,-1.19271074555356,-1.28242657060013,-1.12530691791414,0.467819643511491,0.357441082927142
